,topic,proficiency_domain,discussion_text,difficulty,questions
0,"""Astrology""",26,"Astrology is the belief that the positions of the stars and movements of the planets of the Solar System, including asteroids and other stars, have an influence on the events, lives, and behavior of people. An astrologer looks at the planets’ positions and tries to understand a person’s character or tries to predict the future. Astrology and astronomy started out as the same thing, but today they are very different. Newspapers and websites often print or post horoscopes. These horoscopes claim to predict a person’s future based on their birth sign.",2,"{Can you guess the star signs of the people in your group?,Do you personally believe in astrology? Why/why not?,Why do you think some people are fascinated by astrology?}"
1,"""Stress""",26,"There is a famous expression in English: Stop the world, I want to get off! This expression refers to a feeling of panic or stress that makes a person want to stop whatever they are doing, try to relax, and become calm again. 'Stress' means pressure or tension. It is one of the most common causes of health problems in modern life. There are numerous physical effects of stress. Stress can affect the heart. It can increase the pulse rate, make the heart miss beats, and can cause high blood pressure. Stress can affect the respiratory system. It can lead to asthma. It can cause a person to breathe too fast, resulting in a loss of important carbon. Stress can affect the stomach. It can cause stomach aches and problems digesting food.",2,"{Which effects of stress have you experienced?,In which situations do you experience stress?,Can you propose strategies that are helpful in dealing with stress; what can calm you?,Do you think that stress is only constructed by one's head?}"
2,"""Accupuncture""",26,"Acupuncture stimulates various points in the body that are believed to house qi or energy. It is the clearing of blockages in qi that mystics believed healed people. Today, modern acupuncturists target the sites in the body that help stimulate healing. Some of these are pressure-point areas. After treatment, people report feeling more awake and stimulated than before the session.Chronic conditions, like back or musculoskeletal conditions, often involve a combination of medications and physical therapy to keep the pain at a minimum. Doctors have begun prescribing acupuncture as a part of treatment plans to give patients the most chance of finding relief for painful conditions.",3,"{What are the pros and cons of acupuncture?,Have you ever experienced acupuncture and if no are you willing to give it a try? Why or why not?,What other alternatives to conventional medicine do you know about?}"
3,"""Colors and Emotions""",26,"I'm green with envy. I'm so angry I'm seeing red. I'm feeling really blue today. We definitely tend to link colors with emotions and there's been plenty of psychological and social research on how specific colors actually influence our moods and actions. But, the effects of color aren't written into our DNA, they're set by personal experience. The cultures we live in also tend to dictate how we read certain colors. For example, in western cultures white often represents purity and innocence, but in some eastern cultures it's the color of mourning.",2,"{Do you have the same assocations between moods and colors as mentioned in the text? For example what does red mean to you?,What are some color and mood associations that exist in your native language?,What happens if cultural color assocations are opposites?}"
4,"""Hiking""",21,Hiking is a general word for traveling on foot in wilderness or countryside. Day hikers return before nightfall. Other hikers may go out for many days. Sometimes large groups hike together. Hiking is a kind of physical activity as well as a leisure activity (a way of spending free time). Hikers (the people who do hiking) enjoy fresh air and the beauty of nature while also learning about the place. Many hikers enjoy challenging their physical and mental strength. Hiking with friends gives them the chance to become stronger.,2,"{Do you think hiking is more of a leisure activity (free time) or a physical activity (sport)?,Are you a hiker? If so do you go alone or with a group?,Would you rather go on a one-day-hike or travel for days?}"
5,"""Distracted driving""",21,"Distracted driving is the number one cause of motor vehicle accidents on today’s roads. Distracted drivers miss traffic signals, hit pedestrians, and swerve into wrong lanes. Failing to notice that traffic has come to a stop is one of the most deadly mistakes they make. Sending or reading a text takes your eyes off the road for 5 seconds. At 55 mph, that’s like driving the length of an entire football field with your eyes closed., says the National Highway Traffic Safety Administration (US)",2,"{Which is more dangerous to do while driving: eat take a phone call or respond to a text?,In what ways do passengers distract drivers?,What should be the penalties for distracted drivers? Should young drivers face greater penalties than experienced drivers?}"
6,"""Children Owning a Dog""",21,"Brendan's best friend is Tip. Tip and Brendan are inseparable. They teach each other things and they look after each other. Tip has helped Brendan become more responsible, more caring, and a better friend. Brendan is a nine-year-old boy, and Tip is a ten-year-old dog. Brendan and Tip are an example of how owning a dog can have a positive effect on a child's development. Having a dog develops a child's sense of responsibility, broadens his capacity for empathy, and teaches the nature of friendship.",1,"{What advantages / disadvantages do you see in having a dog as a child?,Do you prefer another pet over a dog? Why/why not?,Do you believe that having a dog teaches the nature of friendship? Why/why not?}"
7,"""Volunteering""",21,"With busy lives, it can be hard to find time to volunteer. However, the benefits of volunteering can be enormous. Volunteering offers vital help to people in need, worthwhile causes, and the community, but the benefits can be even greater for you, the volunteer. The right match can help you to find friends, connect with the community, learn new skills, and even advance your career.Giving to others can also help protect your mental and physical health. It can reduce stress, combat depression, keep you mentally stimulated, and provide a sense of purpose.",2,"{Why do people volunteer? Can you list some reasons?,What types of volunteer work would be unpleasant for you?,Do you believe that volunteering could advance your career? How?}"
8,"""Life in a lighthouse""",27,"Luke has an amazing home – he lives in a lighthouse. In fact you can hear the sea every day, says Luke. It’s not really a quiet place, it’s often windy and there are many noisy birds calling. There are no cars or people near but there’s always a lot of sound. Inside the lighthouse it’s much quieter. The walls and windows are very thick to protect the building from storms.The building is no longer a working lighthouse although there’s still a light at the top for the ships. Many lighthouses are empty now, and some don’t have a light, says Luke. It’s quite easy to buy one to live in. Luke is a writer and for him it’s an ideal home.",1,"{What advantages / disadvantages are there to live in a lighthouse?,Would you enjoy living in an isolated place with no people nearby?,What other unusual place to live can you think of?}"
9,"""The Wild Life""",27,"Long before the arrival of Europeans on the Canadian prairie (the wide grasslands of what is now called Alberta, Saskatchewan and Manitoba), the First Nations people lived in a harmonious relationship with their natural surroundings. Every item of their culture, from sewing needles to homes, was obtained from nature. Their homes were called teepees and were like large tents made from the skins of deer. These people - tribes with names like the Blackfoot, the Peigan and the Blood people - were nomadic, which means that they travelled from place to place following the animals they hunted or the growth of the berries and fruits on the bushes and trees.",3,"{What advantages are there to move your home?,Do you see yourself moving from one place to another in your life or would you prefer to find one place and live there for a long time?,Do you think people live in a harmonious relationship with their natural surroundings today? Why/why not?}"
